Date,Species,sex,Standard.Length,Fork.Length,Total.Length,Condition
4/30/2006,Nurse shark,M,63,,88,E
4/30/2006,L. analis,,,,,
4/30/2006,L. analis,,,,,
4/30/2006,Nurse shark,F,167,,234,E
4/30/2006,Nurse shark,F,125,,175,E
4/30/2006,Southern stingray,F,,,,
4/30/2006,Nurse shark,NR,NR,,NR,G
4/30/2006,Caribbean reef shark,M,98,110,135,G
4/30/2006,Caribbean reef shark,M,73,81,100,G
4/30/2006,Nurse shark,F,160,,225,E
5/1/2006,Nurse shark,M,95,,134,E
5/1/2006,Nurse shark,M,113,,157,E
5/1/2006,Nurse shark,M,153,,217,E
5/1/2006,Caribbean reef shark,M,,65,81,E
5/1/2006,Nurse shark,M,124,,172,E
5/1/2006,Nurse shark,M,120,,159,E
5/1/2006,Caribbean reef shark,F,63,71,90,D
5/1/2006,Caribbean reef shark,M,74,81,100,E
5/1/2006,Caribbean reef shark,F,84,92,120,G
5/1/2006,Caribbean reef shark,F,152,171,214,E
5/3/2006,Nurse shark,M,158,,205,E
5/3/2006,Caribbean reef shark,M,123,137,163,E
5/3/2006,C. latus,,,,,
5/3/2006,Caribbean reef shark,F,,,135,G
5/3/2006,Caribbean reef shark,M,77,84,101,G
5/3/2006,Nurse shark,M,170,,232,E
5/4/2006,Nurse shark,F,132,,177,E
5/4/2006,R. porosus,F,67,71,83,D
5/4/2006,Nurse shark,F,130,,168,E
5/4/2006,Nurse shark,F,154,,215,E
5/4/2006,Nurse shark,F,101,,147,E
5/4/2006,Nurse shark,F,95,,136,E
5/4/2006,Nurse shark,M,101,,144,E
5/4/2006,Southern stingray,F,,,,E
5/4/2006,L. analis,,,,,
5/5/2006,Caribbean reef shark,F,59,63,80,E
5/5/2006,Caribbean reef shark,F,64,71,90,E
5/5/2006,Caribbean reef shark,M,64,70,86,E
5/5/2006,Nurse shark,M,114,,150,E
5/5/2006,Nurse shark,,,,,E
5/5/2006,Nurse shark,M,121,,163,E
5/5/2006,Nurse shark,M,165,,229,E
5/5/2006,Nurse shark,F,108,,195,E
5/5/2006,Nurse shark,M,131,,184,E
5/6/2006,Caribbean reef shark,F,64,66,85,G
5/6/2006,Caribbean reef shark,F,58.5,62,76,G
5/6/2006,Nurse shark,F,110.5,,155.5,E
5/6/2006,Caribbean reef shark,M,58,65,79,D
5/6/2006,Caribbean reef shark,M,73,80,100,E
5/7/2006,Caribbean reef shark,F,58,63,77,E
5/7/2006,Nurse shark,F,154,,216,E
